Trade,Scope ,Pg # 1 ,Pg # 2,Pg # 3,Pg # 4,Pg # 5,Pg # 6,Pg # 7,"Indicator (Key Notes, unless specified)",Addtl Notes ,Question?
,"Provide and install wall shelving, as specified in construction documents and verify final location w/ owner",A-101,,,,,,,19,,
,Provide and install X # of in floor insulated crawl space acess pannels ,A-101,,,,,,,21,A-101 - There's 2 types of access pannels one for closests and the other for larger rooms,
,Provide and install X # of openings for crawl space acess pannels,,S2.2,S5.2,,,,,,"S2.2 - first reference
S5.2 - elevation 4, specs on acess pannel ",
,Provide and install X # of toilets,A-101,A-104,A-401,,,,,,"A-101 - labeled on page, not in keynotes
A-104 - Visually referenced, non-intuitive",
,Provide and install X # of staff toilets,A-101,A-104,A-401,,,,,,"A-101 - labeled on page, not in keynotes
A-104 - Visually referenced, non-intuitive",
,Provide and install X # of restroom sinks ,A-101,A-104,A-401,,,,,,"A-104 - Visually referenced, non-intuitive",
,Provide and install X # of countertop sinks ,A-101,,,,,,,,"A-101 - symbol based intuition , however no specific sinks so will have to split scope downstream",
,Provide and install X # of left hand swing doors ,A-101,A-201,A-601,,,,,,"A-101 - symbol based intuition   
A-601 - refer to the door schedule
Note get the counts of each door # type ",
,Provide and install X # of right hand swing doors,A-101,A-201,A-601,,,,,,"A-101 - symbol based intuition   
A-601 - refer to the door schedule
Note get the counts of each door # type ",
,Provide and install X # of windows,A-101,A-201,A-302,A-601,,,,,"Note will get broken up when we get to the window types on A-601

A-201 - cross section North,East,West,South
A-302 - window reference, unimportant",
,Provide and install X # of W by H interior wall drywall sheets ,A-101,,,,,,,,"Extrapolate based on wall installation take into account # of sheets per wall side, 
etc. see notebook for more info",
,Provide and install X lineal feet of window type A,A-101,A-601,,,,,,E5,A-601 - elevation 5 for window dimensions and materials,
,Provide and install X lineal feet of window type B,A-101,A-601,,,,,,E5,A-601 - elevation 5 for window dimensions and materials,
,Provide and install X lineal feet of window type C,A-101,A-601,,,,,,E5,A-601 - elevation 5 for window dimensions and materials,
,Provide and install X lineal feet of window type D,A-101,A-601,,,,,,E5,A-601 - elevation 5 for window dimensions and materials,
,Provide and install X lineal feet of window type E,A-101,A-601,,,,,,E5,A-601 - elevation 5 for window dimensions and materials,
,Provide and install X lineal feet of window type F,A-101,A-601,,,,,,E5,A-601 - elevation 5 for window dimensions and materials,
,Provide and install X lineal feet of window type G,A-101,A-601,,,,,,E5,A-601 - elevation 5 for window dimensions and materials,
,Provide and install X lineal feet of window type H,A-101,A-601,,,,,,E5,A-601 - elevation 5 for window dimensions and materials,
,Provide and install X lineal feet of window type I,A-101,A-601,,,,,,E5,A-601 - elevation 5 for window dimensions and materials,
,,,,,,,,,,,
,Provide and install all attic acess panels ,A-102,,,,,,,1,A-101 - can't find it ,
,Provide and install all 2x2 lay-in acoustical ceiling tiles,A-102,A-302,,,,,,"2,E2,E3,E4",A-302 - referenced again in 3 places ,
,Provide and install all 2x2 lay-in wahsable ceiling tiles in wet areas ,A-102,,,,,,,3,,
,Provide and install GYP ceiling ,A-102,,,,,,,4,,
,Provide and install seamless alumnium gutter ,A-102,A-105,A-201,A-302,,,,"6, E3,E4","A-105 - Provide and install aluminum 6'' wide gutter w/ spike and ferrile at 36'' O.C. and connect to underground drain system 
A-201 - referenced again, to be 4'' diameter
A-302 - closeup",
,Provide and install ventilated alumnium soffit,A-102,A-302,,,,,,"7, E3,E4","RFI - have alumninum soffit on A-102 and fiber cement on A-302, the panel material is in question? 


A-302 - see elevation 4 & 3 ",
,Provide and install all celing fans,A-102,,,,,,,9,"Refer to electrical spec and general note G-405 23.34, but says 23.24 in the legend",
General Note,"Exposed ceiling in utility room, gypsum painting in the atrium.",A-102,,,,,,,10,Architect messed up. ,
,Provide and install X # of recessed lights,A-102,,,,,,,,A-102 - explicit symbol reference in legend ,
,Provide and install X # of  2' x 4' recessed light fictures,A-102,,,,,,,,A-102 - explicit symbol reference in legend ,
,Provide and install X # of emergency exit lights,A-102,,,,,,,,A-102 - explicit symbol reference in legend ,
,Provide and install X # of heat detector ,A-102,,,,,,,,A-102 - explicit symbol reference in legend ,
,Provide and install X # of smoke detector ,A-102,A-104,,,,,,,"A-102 - explicit symbol reference in legend 
A-104 - see electrical general note E, for specifics on install ",
,Provide and install X # of flood lights,A-102,,,,,,,,A-102 - explicit symbol reference in legend ,
,Provide and install X # of diffuses/grilles ,A-102,,,,,,,,A-102 - explicit symbol reference in legend ,
,Provide and install X # of return air/grilles ,A-102,,,,,,,,A-102 - explicit symbol reference in legend ,
,Provide and install X # of emergency lights,A-102,,,,,,,,A-102 - explicit symbol reference in legend ,
,,,,,,,,,,,
,Provide and install X square feet of QT (quarry tile) to kitchen and laundry,A-103,,,,,,,E9,A-103 - refers to elevation 9 in floor finishes legend ,
,Provide and install X square feet of CT1 (ceramic tile 1) in all toilet rooms,A-103,,,,,,,E9,,
,Provide and install X square feet of CT2 (ceramic tile 2) in lobby,A-103,,,,,,,E9,,
,"Provide and install X square feet of LVT (luxury vinyl tile) in classrooms, COT rooms, corridors, large motor rooms, and director conference and staff rooms",A-103,,,,,,,E9,,
,____,A-103,,,,,,,,"RFI for exposed concrete as we apply wood sheating as seen in S2.2 , however there's a note on A-103
requiring subs to prepare concrete slab before laying floor finish ",
,"Provide and install X square feet of walk-off-mats at entry, monolithicly ",A-103,,,,,,,E9,,
,,,,,,,,,,,
,Provide and install X square feet of CWT (ceramic wall tile) in all toilet rooms ,A-103,,,,,,,E2,,
,"Provide and install X square feet of  (fiber reinforced plastic) to COT rooms, storage, utility, and restrooms ",A-103,,,,,,,,,
,"Provide and apply PT1 (paint) to all COT rooms, storage, utility, and restrooms",A-103,,,,,,,,,
,Provide and apply PT2 (paint - interior door frames) to all interior door frames ,A-103,,,,,,,,,
,"Provide and install X lineal feet of QTB (quarry tile base) to sanitary covered units, expoxy grout, and kitchen, and laundry",A-103,,,,,,,E7,,
,Provide and install X lineal yardage of VWC1 (vinyl wall covering 1) in all infant rooms ,A-103,,,,,,,E4,,
,"Provide and install X lineal yardage of VWC2 (vinyl wall covering 2) in lobby, entry, conference, director, staff, classrooms, corridors,  and large motor room",A-103,,,,,,,E4,,
,Provide and install X lineal yardage of VWC3 (vinyl wall covering 3) to all classrooms ,A-103,,,,,,,,,
,"Provide and install X lineal footage of VWB (vinyl wall base) to all classrooms, COT rooms, large motor room, corridors, entry, conference, storage, utility, director, and staff rooms ",A-103,,,,,,,E7,,
,Provide and install all drinking fountains ,A-103,,,,,,,E5 ,"A-103 - elevation 5 first reference, insufficient information for an actual count hence usage of ""all""",
,"Provide and install X liineal feet of maple chair rails, prefinished",A-103,A-302,,,,,,"E3,E4,E3,E4","A-103 - possible to do takeoff for lineal feet of railing
A-302 - refered on elevation 3",
,Provide and install X # of wall bumpers ,A-103,,,,,,,E4,A-103 - D4 specifics on wall bumper installation ,
,Provide and install X # of quadplex switch banks,A-103,A-104,,,,,,E4,"A-103 - note want outlets/switch banks mounted at 3' 9 7/8'' 
A-104 - referenced, again note D general electrical notes",
,Provide and install X # of duplex switch banks,A-103,A-104,,,,,,E4 ,"A-103 - note want outlets/switch banks mounted at 3' 9 7/8'' 
A-104 - referenced, again note D general electrical notes",
,,,,,,,,,,,
,Provide and install X lineal feet carseat/buggy storages,A-104,A-501,,,,,,"E1, E9,E10","A-104 - D1
A-501 - D9/10 ",
,Provide and install X lineal feet plastic laminate cabinets for large motor room ,A-104,A-501,,,,,,"E2, E8","A-104 - D2, see note Jb for specs on cabinent hinges in 'casework design and hardware'
A-501 - D8",
,Provide and install X lineal feet teachers wadrobes ,A-104,A-501 ,,,,,,"E3, E8","A-104 - D3, see note Jb for specs on cabinent hinges in 'casework design and hardware'
A-501 - D8 ",
,Provide and install X lineal feet of upper and lower plastic laminate cabinets for food prep stations,A-104,A-501,,,,,,"E4, E15, E4","A-104 - D4, D15(backsplash), see note Jb for specs on cabinent hinges in 'casework design and hardware'
             see note P in 'casework design and hardware' regarding cabinents being mounted on 6'' tall stainless steel legs
A-501 - D4 ",
,Provde and install X lineal feet of upper and lower plastic laminate cabinets for infant changing stations ,A-104,A-501,,,,,,"E5,E15, E5, E6","A-104 - D5/15(backsplash), see note Jb for specs on cabinent hinges in 'casework design and hardware'
A-501 - D5/6",
,Provide and install diaper drop to infant changing station ,A-104,,,,,,,,A-104 - See note N in 'casework design and hardware',
Glass ,Provide and install mirror at all infant changing stations,A-104,,,,,,,E5 ,A-104 - see note V in casework design and hardware for mirror install ,
,Provide and install X lineal feet of typical locker bank,A-104,A-501,,,,,,"E6, E2","A-104- D6
A-501 - D2",
,Provide and install X lineal feet of infant locker bank ,A-104,A-501,,,,,,"E7, E2","A-104 - D7
A-501 - D2",
,Provide and install X lineal feet of base plastic laminate cabinets for sign-in desk w/ LCD monitor,A-104,A-501,,,,,,"E8, E5","A-104 - D8, see note Jb for specs on cabinent hinges in 'casework design and hardware'
A-501 - D5",
,Provide and install X lineal feet of base plastic laminate cabinets & upper shelving above base plastic laminate cabinets for sign in desk w/o LCD monitor ,A-104,,,,,,,E9,"A-104 - very important need to disregard A-501 - D5, , see note Jb for specs on cabinent hinges in 'casework design and hardware'",
,Provide and install X lineal feet of upper and lower plastic laminate cabinets for of work/prep station ,A-104,A-501,,,,,,"E10,E15, E5","A-104 - D10/15(backsplash), , see note Jb for specs on cabinent hinges in 'casework design and hardware'
A-501 - D5",
,Provide and install X lineal feet of upper and lower plastic laminate cabinets for of toddler changing station ,A-104,A-501,,,,,,"E11,  E15, E5, E6","A-104 - D11 /15(backsplash), , see note Jb for specs on cabinent hinges in 'casework design and hardware'
A-501 - D5/6",
,Provide and install diaper drop to toddler changing station ,A-104,,,,,,,,A-104 - See note N in 'casework design and hardware',
Glass ,Provide and install mirror at all toddler changing stations,A-104,,,,,,,E11 ,A-104 - see note V in casework design and hardware for mirror install ,
,Provide and install X lineal feet of upper and lower plastic laminate cabinets for of plastic laminate cabinets in staff room ,A-104,A-501,,,,,,"E12,E15, E5","A-104 - D12/15(backsplash), see note Jb for specs on cabinent hinges in 'casework design and hardware'
A-501 - D5",
,Provide and install X lineal feet of upper bathroom plastic laminate cabinets ,A-104 ,A-501,,,,,,"E13, E5","A-104 - D13, , see note Jb for specs on cabinent hinges in 'casework design and hardware'
A-501 - D5 - only instal upper cabinent ",
,Provide and install X lineal feet of teacher's wardrobe,A-104,A-501,,,,,,"E14, E8","A-104 - D14
A-501 - D8",
,"Provide and install wardrobe clothes rods to be 1-1/16'' DIA, chome w/ chrome flanges",A-104,,,,,,,,A-104 - see note K in Casework Design and harware,
,Provide and install X # of cabinent pulls  ,A-104,A-501,,,,,,,"A-104 - Note elevation Ja in the Casework Design and Hardware notes
A-501 - D3/4/5/6/8 - develop into SS pulls ",
,"Provide and install X square feet of tile backsplash to staff room, food prep, infant changing, toddler changing, and work/prep stations",A-104,,,,,,,"E15, E4,E5,E12,E11,E10",A-104- D4/5/10/11/12/15 - all instances of tile backsplash,
,Provide and install countertop backsplash to all casework w/ backsplash tile,A-104,A-501,,,,,,"E15, E4,E5,E12,E11,E10 , E5","A-104- D4/5/10/11/12/15 - all instances of tile backsplash
A-501 - make's it very clear for a solid surface backsplash",
,Provide and install X square feet of tile backsplash to sidewalls ,A-104,,,,,,,,A-104 - Casework design and hardware note H ,
,Provide and install X square feet of countertop backsplash to sidewalls,A-104,,,,,,,,A-104 - Casework design and hardware note H,
,Provide and install bullnose edges to all backsplash,A-104,,,,,,,,A-104 - Casework design and hardware note Hc,
Electrical,Provide and install all outlets at walls ,A-104,,,,,,,E16,"A-104 - D15 - not possible to get specific count, but referenced and implied installation 
             see notes J,K on electrical general note box ",
Electrical,Provide and install tamper-proof outlets in all classrooms and corridors ,A-104,,,,,,,,A-104 - see note J in electrical general note box ,
Electrical,"Coordinate location of outlets, fixtures, etc w/ other trades",A-104,,,,,,,,A-104 - see note L in electrical general note box,
Electrical,"Provide and install data box, where data is shown on walls ",A-104,,,,,,,,A-104 - see note B in electrical general note box,
Fire Alarm ,"Provide and install fire alarm system, per local code requirements, must include hardwired carbon monoxide detectors",A-104,,,,,,,,A-104 - see note E in electrical general note box ,
Electrial,"Provide and install LESCO electrical boxs, per NHA (New Horizon Academy) standards",A-104,,,,,,,,A-104 - see note G in electrical general note box,
,____,A-104,,,,,,,,"RFI - are all outlet cirucits suppose to be GFCI(ground fault), seems excessive 
only should apply near H2O",
,____,A-104,,,,,,,,"RFI - outlet/switch mounted height as noted on A-103 states ~3' 10'', but electricals and A-104 
reference outlets again w/ no info on mounted height ",
Electrical,"Provide and install powerr wiring for owner's server and LAN system, verify w/ low voltage contractor",A-104,,,,,,,,A-104 - see note H in electrical general note box,
Electrical,Provide and install power for H2O softening system,A-104,,,,,,,,A-104 - see note I in electrical general note box ,
,Provide and install X square feet of countertop,A-104,,,,,,,"E4, E5, E8, E9, E10, E11, E12, E15","A-104 - D15 - specifies countertop specs, all other are instances where countertop is required ",
General Notes ,Outlets at backsplash should be at 4' high,A-104,,,,,,,"E15, E4,E5,E12,E11,E10",,
,Provide and install locks to all drawers and cabinent doors ,A-104,,,,,,,,A-104 - see note L in casework design and hardware pay attention to subnotes,
,Provide and install all countertop mounted sinks to be integrated solid surface cts ,A-104,,,,,,,,A-104 - see note O in' casework design and hardware' ,
,Provide and install solid surface window sills ,A-104,,,,,,,,A-104 - see note T in 'casework design and hardware',
,,,,,,,,,,,
,Provide and install asphalt shingles,A-105,A-201,A-302,,,,,,"A-201 - referenced again , specifically ""gaf timberliine hdz, barkwood""
A-302 - references shingles that are fiberglass, not asphalt

RFI - Contradiction between asphalt and fiberglass shingles.",
,Provide and install fully adhered white single ply to be sloped 1/4'' / 12'' downward,A-105,A-201,,,,,,,"A-201 - general note ""Roofing"" material ",
,Provide and install 2 layers of R-30 polyiso roof insulation to be sloped 1/4'' / 12'' downward,A-105,,,,,,,,,
,Provide and install walkpads,A-105,,,,,,,,,
HVAC,Provide and install X # of thru-roof vents,A-105,,,,,,,E2,"A-105 - elevation 2, specifics on penetration ",
,Provide and install roof drain and overflow at four locations,A-105,,,,,,,E5,A-105 - elevation 5 closeup on roof drain,
,Provide and install dryer vent,A-105 ,M-201,,,,,,E5,M-201 - elevation 5 specs for dryer vent ,
,Provide and install exhaust fans at 4 locations,A-105,A-201,,,,,,"E3 , 3","A-105 - elevation 3 
A-201 - note 3 ",
,Properly seal all penetrations from other trades ,A-105 ,,,,,,,,"A-105 - D2/D3/ roof acess hatch, dryer vent (I am probably missing some)",
,,,,,,,,,,,
,Provide and install X square feet of james hardie prefinished navajo beige 6'' lap siding ,A-201,A-302,,,,,,"E1,E6,E2,E3,E4","*maybe lineal feet
A-302- referenced on elevation 2,3,&4",
,Provide and install X lineal feet of James Hardie Trim,A-201,A-302,,,,,,"E1,E3,E5,E7,E2,E3",,
,Provide and apply heathered moss prefinished James Hardie trim ,A-201,,,,,,,,,
,"Provide and apply blue blood satin to James Hardie trim, as specified ",A-201,,,,,,,,,
,Provide and apply required paint to installed doors that require paint ,A-201,,,,,,,,,
Masonry,Provide and install X square feet of chardonnay,A-201,,,,,,,,,
Masonry,Provide and install X square feet of country ledgestone,A-201,,,,,,,,,
Masonry,"Provide and install X lineal feet of precast stone sill, to be dark brown",A-201,,,,,,,,,
Signage,Provide and install 6'' address number sign and verify w/ the fire department ,A-201,,,,,,,,,
Framing ,Provide and install James Hardie Fascia,A-201,,,,,,,"E1, E5 ",,
,"Provide and apply herbal wash to James Hardie Fascia, as specified in documents",A-201,,,,,,,,,
,Provide and install X square feet of timber bark James Hardie shake siding ,A-201,,,,,,,E1 ,,
Owner ,Owner to provide and install New Horizon Academy signage,A-201,,,,,,,,"A-201 - Signage general note, regarding need seperate permit, takes a long time ",
General Note,All on-site wiring and cables shall be placed underground,A-201,,,,,,,,,
,"Provide and apply paint to al external services inlcuding, but not limited to, gas meteres, 6'' lap siding, Fascia, trim pieces, electrical conduits, etc.",A-201,,,,,,,1,A-201 - General Note 1 ,
,,,,,,,,,,,
Owner,Owner provided and installed monument sign.,A-202,,,,,,,,,
Concrete/Mason,Provided and install monument strucutre. ,A-202,,,,,,,,"A-202 - If doing takeoff, compute concrete, veneer, other materials, etc. w/ this page ",
,,,,,,,,,,,
General Note,Used for wall takeoff in conjunction w/ A-101.,A-301,____,____,____,____,____,____,____,____,____
,,,,,,,,,,,
,Provide and install 5/8'' thick ceiling drywall to vestibule storefront,A-302,,,,,,,E1,A-302 - elevation 1 ,
,Provide and install 10ml flame retardant string reinforced translucenct white plastic vapor barrer on florors and walls  in crawl space ,A-302,A-303,,,,,,"E1,E2,E4","A-302 - elevation 1 
A-303 - elevation 1 - contradiction between 6 and 10 mil, however 10mil is superior go w/ that for takeoff",
,"Provide and install expansion joint material, as specified ",A-302,,,,,,,"E1,E2,E3,E4",,
,Provide and install X square feet of gypcrete over building floor,A-302,,,,,,,"E1,E2,E3,E4",A-302 - See elevation 1/2/3/4,
,Provide and install X square feet of 5/8'' exterior wall sheathing,A-302 ,,,,,,,"E2,E3,E4","A-302 - see elevation 2, takeoff based on the square footage of lap siding used and brick exterior, note the double sheathing for the brick exterior , 
             points to the 2 by 4 studs used to create air gap  ",
,Provide and install X square feet of R-30 closed ceiling insulation ,A-302,,,,,,,"E2,E3","A-302 - Explicit on elevation 2/3 - note ""closed cell insulation"" means spray foam ",
,Provide and install X square feet of R-21 closed cell insulation,A-302,,,,,,,"E2,E3,E4","A-302 - seems to be used below the truss lines - note ""closed cell insulation"" means spray foam ",
,Provide and install X square feet of R-21 BATT Insulation w/ kraft back,A-302,,,,,,,E3,RFI - should be just closed cell insulation ,
,Provide and install 2 by 6 PT wood sill over sill sealer at perimeter ,A-302,,,,,,,"E3,E4",,
,"Provide and install X lineal feet of 2 by 4 wood furring, as specified ",A-302,,,,,,,"E3,E4",,
,Provide and install R-10 2'' styrofoam to walls in crawl space,A-302,,,,,,,E3,A-302 - elevation 3 ,
,Provide and install uplift clips at each truss bearing point ,A-302,,,,,,,"E3,E4",A-302 - see elevation 3 ,
,Provide and install X lineal feet of 1 by 4 Hardie Trim,A-302,,,,,,,E3,A-302 - see elevation 3 near top,
,Provide and install X lineal feet of 1 by 6 Hardie Trim,A-302,,,,,,,E3,A-302 - see elevation 3 near top,
,Provide and install X lineal feet of 1 by 8 Hardie Trim,A-302,,,,,,,E3,A-302 - see elevation 3 near top,
,Provide and install X lineal feet of 1 by 12 Hardie Trim,A-302,,,,,,,E3,A-302 - see elevation 3 near top,
,Provide and install  5'' by 5'' precast sill w/ drip ,A-302,,,,,,,E3,,
,"Provide and install X lineal feet of stone veneer on mortar, as specified",A-302,,,,,,,"E3,E4",,
,Provide and install weep holes at 24'' on center through wall ,A-302,,,,,,,"E3,E4",,
,Provide and install 5/8'' thick drywall at headers,A-302,,,,,,,"E3,E4",A-302 - elevation 4 ,
,Provide and install X square feet of R-11 insulation in crawl space,A-302,,,,,,,E4,"A-302 - elevation 4 - note the ""squiggly lines"" are normal batt insulation ",
,,,,,,,,,,,
,Provide and install X lineal feet of continous thru wall flashing 24'' O.C. at brick ,A-303,,,,,,,E3,,
,Provide and install X lineal feet APA rated structural rim board in crawl space,A-303,,,,,,,E1,,
,Provide and install X # of A35 clips in crawl space,A-303,,,,,,,E1,,
,Provide and install X feet of sill sealer ,A-303,,,,,,,E1,,
,Provide and install X square feet of foundation dam proofing ,A-303,,,,,,,E1,"faces the exterior of the grade beams, to prevent water from ruining the concrete ",
,Provide and install X lineal feet of tar paper behind rim board,A-303,,,,,,,E1,,
,Provide and install 4'' foundation drain pipe w/ 3/4'' stone surrounding ,A-303,,,,,,,E1,,
,Provide and install X lineal feet geofabric wrap ,A-303,,,,,,,E1,,
,Provide and install 3/4'' rock at crawl space,A-303,,,,,,,E1,,
,,,,,,,,,,,
,Provide and install X lineal feet of exterior joint sealants,A-304,G402,,,,,,"E1,E2,E3, 07.92","Note: exterior joint sealants are used whenever there are two differing materials making contact, meant to keep water out 

G402 - 07.92 - general note on joint sealants",
,,,,,,,,,,,
,Provide and install X # of toilet paper dispensers,A-401,,,,,,,,,
,Provide and install X # of restroom mirrors,A-401,,,,,,,"E1,E2,E3",,
,Provide and install X # of diaper wipes,A-401,,,,,,,"E5,E6,E7",,
,Provide and install X 18'' grab bars,A-401,,,,,,,"E1,E2,E3,E4,E5,E6,E7,E8",,
,Provide and install X 42'' grab bars,A-401,,,,,,,,,
,Provide and install X 36'' grab bars,A-401,,,,,,,,,
,Provide and install X # of soap dispensers,A-401,,,,,,,,,
